,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_exploration_final_eps,params_exploration_fraction,params_gamma,params_learning_rate,params_learning_starts,params_net_arch,params_subsample_steps,params_target_update_interval,params_train_freq,state
990,990,1,10:43.9,11:29.1,0 days 00:00:45.174222,64,50000,0.001290228,0.003516737,0.9999,3.16E-05,5000,medium,1,20000,8,PRUNED
991,991,1,11:29.1,12:00.6,0 days 00:00:31.491291,256,50000,0.020036832,0.034846004,0.99,0.049737794,1000,small,4,1,128,PRUNED
992,992,1,12:00.6,12:32.2,0 days 00:00:31.603741,128,50000,0.001788472,0.145902306,0.98,2.34E-05,1000,medium,4,20000,1000,PRUNED
1008,1008,1,22:08.1,22:37.3,0 days 00:00:29.270390,64,50000,0.039049915,0.004861909,0.99,1.22E-05,1000,tiny,4,20000,1000,PRUNED
1027,1027,1,33:50.7,34:21.7,0 days 00:00:31.025289,128,50000,0.001972194,0.014105369,0.99,1.69E-05,1000,tiny,4,20000,8,PRUNED
1031,1031,1,36:04.1,36:41.4,0 days 00:00:37.243304,64,50000,0.014094092,0.048192999,0.9,0.088319364,1000,medium,2,5000,128,PRUNED
1041,1041,1,42:08.9,42:38.1,0 days 00:00:29.194344,128,50000,0.00344187,0.003150445,0.98,0.434152366,1000,tiny,4,1,8,PRUNED
1042,1042,1,42:38.1,43:09.3,0 days 00:00:31.242822,256,50000,0.041945928,0.087851277,0.995,1.83E-05,10000,medium,4,1000,1000,PRUNED
1050,1050,1,47:11.8,47:45.4,0 days 00:00:33.630135,128,50000,0.002942188,0.153189623,0.995,0.214814765,1000,tiny,1,1000,1000,PRUNED
1053,1053,1,48:53.6,49:24.0,0 days 00:00:30.474959,64,50000,0.006545503,0.196575107,0.99,1.21E-05,1000,medium,4,20000,1000,PRUNED
1060,1060,1,53:31.2,54:05.8,0 days 00:00:34.540453,64,50000,0.022127958,0.027239532,0.9999,0.000108909,5000,medium,2,20000,1000,PRUNED
1072,1072,1,01:05.8,01:35.5,0 days 00:00:29.725966,128,50000,0.003573722,0.002946585,0.98,0.020843334,0,medium,4,10000,128,PRUNED
1082,1082,1,07:02.2,07:38.0,0 days 00:00:35.827923,64,50000,0.002430537,0.003462898,0.999,3.08E-05,1000,medium,2,20000,128,PRUNED
1084,1084,1,08:15.7,08:54.7,0 days 00:00:38.987818,256,50000,0.085994006,0.017574851,0.9999,0.590831735,5000,small,4,20000,1,PRUNED
1096,1096,1,15:24.3,15:54.7,0 days 00:00:30.352359,16,50000,0.001101545,0.001187369,0.98,1.01E-05,0,tiny,4,20000,1000,PRUNED
1103,1103,1,19:54.3,20:24.1,0 days 00:00:29.721205,128,50000,0.001714061,0.023856027,0.9999,1.77E-05,10000,tiny,4,20000,8,PRUNED
1104,1104,1,20:24.1,21:05.3,0 days 00:00:41.261359,256,100000,0.004934007,0.005997404,0.995,0.031801399,5000,medium,1,1000,128,PRUNED
