,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_max_grad_norm,params_n_epochs,params_n_steps,params_net_arch,params_ortho_init,params_vf_coef,state
20,20,68,41:13.8,57:51.8,0 days 00:16:37.977792,relu,16,0.4,4.96E-07,0.95,0.999,0.002360816,1,5,32,large,FALSE,0.016663856,COMPLETE
195,195,68,25:52.9,30:16.6,0 days 00:04:23.695381,relu,64,0.4,2.04E-07,0.98,0.9999,0.000488978,0.5,5,512,large,FALSE,0.007066185,COMPLETE
16,16,67,37:13.9,39:21.1,0 days 00:02:07.194178,relu,512,0.4,1.20E-07,0.99,0.99,9.40E-05,2,10,256,small,FALSE,0.087130733,COMPLETE
170,170,67,50:24.1,56:20.8,0 days 00:05:56.691013,tanh,64,0.4,2.83E-07,0.98,0.995,0.000774885,0.9,10,512,large,FALSE,0.002563885,COMPLETE
238,238,67,49:25.9,46:35.7,0 days 00:57:09.831098,relu,8,0.4,3.75E-08,0.98,0.995,0.000113372,0.9,10,512,large,FALSE,0.818627277,COMPLETE
114,114,66,35:35.3,39:18.7,0 days 00:03:43.382813,relu,64,0.4,2.53E-07,0.99,0.99,0.000593932,0.8,10,512,large,FALSE,0.000862675,PRUNED
287,287,66,55:20.6,03:05.8,0 days 00:07:45.139938,relu,64,0.4,3.03E-07,0.98,0.995,0.000629297,0.9,10,512,large,FALSE,0.000217253,COMPLETE
190,190,65,27:56.6,32:13.3,0 days 00:04:16.698553,tanh,256,0.2,4.26E-08,0.98,0.995,0.000149508,0.9,10,512,large,FALSE,0.001448568,COMPLETE
228,228,65,57:51.7,01:23.5,0 days 00:03:31.779785,relu,64,0.2,2.63E-07,0.98,0.995,0.000224033,0.9,10,512,large,FALSE,0.000582374,PRUNED
301,301,65,26:18.8,32:38.8,0 days 00:06:19.979273,relu,64,0.4,1.73E-08,0.98,0.9999,0.000187217,0.9,20,512,large,FALSE,0.000399446,PRUNED
132,132,64,33:36.1,40:15.8,0 days 00:06:39.712909,relu,64,0.4,1.62E-07,0.98,0.995,0.000119076,0.9,10,512,large,FALSE,0.024248003,COMPLETE
92,92,63,30:33.8,37:25.4,0 days 00:06:51.565597,relu,64,0.4,1.46E-07,0.98,0.995,0.000227737,0.9,10,512,large,FALSE,0.004059191,COMPLETE
153,153,63,48:23.7,49:28.6,0 days 00:01:04.886014,relu,512,0.4,1.00E-07,0.98,0.995,0.000168705,0.9,10,512,large,FALSE,0.014799127,PRUNED
310,310,63,38:24.7,42:03.3,0 days 00:03:38.665769,tanh,64,0.4,9.45E-08,0.98,0.995,0.000963552,0.9,5,512,large,FALSE,0.158470627,COMPLETE
329,329,63,27:40.7,34:30.8,0 days 00:06:50.179060,relu,64,0.4,1.83E-07,0.98,0.995,0.000720507,0.7,20,256,large,FALSE,0.001255023,PRUNED
13,13,62,36:58.0,43:50.0,0 days 00:06:51.969973,relu,64,0.4,3.76E-06,0.99,0.99,0.000195455,0.5,20,256,small,FALSE,0.099773948,COMPLETE
41,41,62,40:05.5,57:22.2,0 days 00:17:16.673578,relu,16,0.4,2.44E-07,0.98,0.995,0.000408024,0.6,5,2048,large,FALSE,0.004802708,COMPLETE
97,97,62,53:12.8,11:29.7,0 days 00:18:16.924210,relu,32,0.4,3.99E-07,0.98,0.995,0.00023858,5,10,2048,large,FALSE,0.02093909,COMPLETE
157,157,62,13:04.0,13:49.9,0 days 00:00:45.912138,relu,256,0.2,1.44E-07,0.98,0.995,0.001488345,0.9,1,512,large,FALSE,0.019236292,PRUNED
242,242,62,01:49.3,09:03.9,0 days 00:07:14.665596,relu,16,0.4,5.80E-07,0.95,0.999,0.001065441,1,5,32,large,FALSE,0.015804749,PRUNED
252,252,62,30:26.5,32:32.2,0 days 00:02:05.700275,relu,64,0.4,1.10E-08,0.98,0.995,0.000440568,0.9,5,2048,large,FALSE,0.058807374,PRUNED
73,73,61,11:27.7,14:19.8,0 days 00:02:52.146094,tanh,64,0.4,1.66E-08,0.98,0.995,0.000260055,0.9,10,512,large,FALSE,0.000265099,PRUNED
115,115,61,39:18.7,42:43.7,0 days 00:03:25.005292,relu,64,0.4,5.47E-08,0.99,0.99,0.000161808,0.9,10,128,large,FALSE,0.001671495,PRUNED
142,142,61,35:50.2,39:04.9,0 days 00:03:14.666409,relu,64,0.4,3.26E-07,0.98,0.995,0.000138681,0.9,10,512,large,FALSE,0.006190175,PRUNED
143,143,61,39:04.9,42:22.7,0 days 00:03:17.855480,relu,64,0.4,7.57E-08,0.98,0.995,7.36E-05,0.9,10,512,large,FALSE,0.021124685,PRUNED
286,286,61,49:14.9,55:20.6,0 days 00:06:05.735004,tanh,64,0.4,7.96E-08,0.98,0.995,0.000127111,0.9,10,512,large,FALSE,0.001430289,COMPLETE
