,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_exploration_final_eps,params_exploration_fraction,params_gamma,params_learning_rate,params_learning_starts,params_net_arch,params_subsample_steps,params_target_update_interval,params_train_freq,state
1199,1199,730,33:25.6,34:56.0,0 days 00:01:30.363654,128,50000,0.00104112,0.03640738,0.999,0.000809342,0,tiny,2,1,8,COMPLETE
696,696,717,44:19.6,46:13.6,0 days 00:01:54.001384,64,50000,0.004858218,0.10840984,0.999,5.66E-05,10000,medium,8,1,1,COMPLETE
6935,6935,651,54:12.0,55:43.6,0 days 00:01:31.558809,16,10000,0.013470462,0.033348705,0.999,0.000416907,5000,tiny,2,1000,4,COMPLETE
8152,8152,647,19:29.2,21:05.2,0 days 00:01:35.989748,128,1000000,0.010345568,0.002066933,0.999,0.000404984,1000,small,8,1,4,COMPLETE
8133,8133,631,01:48.0,03:27.6,0 days 00:01:39.607388,16,1000000,0.009101688,0.09593006,0.999,0.000486949,5000,small,2,1,4,COMPLETE
166,166,630,40:44.2,42:05.7,0 days 00:01:21.478988,16,50000,0.089193414,0.00621073,0.999,0.000242176,1000,small,8,1000,8,COMPLETE
1524,1524,630,22:56.3,24:28.8,0 days 00:01:32.536221,16,10000,0.026674494,0.032229487,0.999,0.002508379,5000,tiny,2,1,4,COMPLETE
1545,1545,630,40:37.6,42:10.4,0 days 00:01:32.750029,16,10000,0.029115794,0.002781432,0.999,0.004441857,5000,tiny,2,1,4,COMPLETE
1560,1560,630,57:40.6,59:14.3,0 days 00:01:33.657464,16,10000,0.002819326,0.161907752,0.999,0.009006797,5000,tiny,2,1,4,COMPLETE
1573,1573,630,12:41.9,14:15.9,0 days 00:01:33.978732,16,10000,0.00223794,0.131345671,0.999,0.007724941,5000,tiny,2,1,4,COMPLETE
1579,1579,630,19:58.0,21:33.2,0 days 00:01:35.169062,16,10000,0.002221438,0.129477772,0.999,0.00731361,5000,tiny,2,1,4,COMPLETE
1594,1594,630,37:15.1,38:48.9,0 days 00:01:33.763036,16,10000,0.001687904,0.14542859,0.999,0.01291731,5000,tiny,2,1,4,COMPLETE
1597,1597,630,40:24.9,42:01.1,0 days 00:01:36.246574,16,10000,0.002261099,0.166426438,0.999,0.008721435,5000,tiny,2,1,4,COMPLETE
1681,1681,630,02:11.6,03:45.8,0 days 00:01:34.184971,16,10000,0.009695869,0.098331904,0.999,0.023153998,5000,tiny,2,1,4,COMPLETE
1682,1682,630,03:45.8,05:17.0,0 days 00:01:31.225240,16,10000,0.009113411,0.114851087,0.999,0.010856199,5000,tiny,2,1,4,COMPLETE
1686,1686,630,08:15.3,09:46.2,0 days 00:01:30.876630,16,10000,0.010070293,0.111309231,0.999,0.014921786,5000,tiny,2,1,4,COMPLETE
1693,1693,630,15:50.7,17:20.9,0 days 00:01:30.197530,16,10000,0.009793349,0.111597399,0.999,0.014738408,5000,tiny,2,1,4,COMPLETE
1698,1698,630,20:34.9,22:04.4,0 days 00:01:29.531342,16,10000,0.010076946,0.0196233,0.999,0.014633709,5000,tiny,2,1,4,COMPLETE
