,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_exploration_final_eps,params_exploration_fraction,params_gamma,params_learning_rate,params_learning_starts,params_net_arch,params_subsample_steps,params_target_update_interval,params_train_freq,state
1570,1570,51,58:15.4,59:15.5,0 days 00:01:00.167316,100,10000,0.011263923,0.223334393,0.9,3.96E-05,5000,large,1,15000,1,PRUNED
1941,1941,51,09:39.8,10:36.9,0 days 00:00:57.086668,64,10000,0.002805589,0.005598372,0.999,0.002820377,5000,medium,1,20000,1,PRUNED
2150,2150,51,59:18.3,00:03.0,0 days 00:00:44.732648,64,1000000,0.004943369,0.00313528,0.999,0.003574755,10000,small,1,1000,4,PRUNED
2169,2169,51,15:37.8,16:22.4,0 days 00:00:44.667051,64,50000,0.003266432,0.001212453,0.995,0.000103013,10000,small,1,15000,256,PRUNED
2329,2329,51,19:38.2,20:20.6,0 days 00:00:42.358206,64,100000,0.00386849,0.12224634,0.9,0.000178265,5000,small,1,1000,256,PRUNED
2379,2379,51,57:32.4,58:15.6,0 days 00:00:43.120521,128,10000,0.001515537,0.001195989,0.9999,0.004249222,20000,small,1,20000,8,PRUNED
2923,2923,51,41:24.0,42:07.4,0 days 00:00:43.313773,32,100000,0.00191284,0.030968934,0.999,0.002026519,5000,small,1,1000,16,PRUNED
2967,2967,51,12:58.8,13:37.4,0 days 00:00:38.600962,64,50000,0.001239658,0.019215909,0.99,0.001998442,0,tiny,1,15000,256,PRUNED
3276,3276,51,32:50.5,33:31.9,0 days 00:00:41.406815,64,100000,0.052455634,0.028773812,0.95,0.00117234,10000,small,1,15000,256,PRUNED
3290,3290,51,43:50.4,44:33.9,0 days 00:00:43.434637,64,1000000,0.001626538,0.055794353,0.9999,0.000903171,0,small,1,1000,128,PRUNED
3307,3307,51,55:28.2,56:12.4,0 days 00:00:44.227725,64,50000,0.005095891,0.009756903,0.995,0.002890152,5000,small,1,1000,128,PRUNED
3567,3567,51,11:02.7,11:54.4,0 days 00:00:51.744318,64,10000,0.01003503,0.208226724,0.9,6.01E-05,10000,large,1,1000,256,PRUNED
