,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_ent_coef,params_gae_lambda,params_gamma,params_lr,params_max_grad_norm,params_n_steps,params_net_arch,params_normalize_advantage,params_ortho_init,params_vf_coef,state
25,25,1.0,2023-04-26 23:51:56.261937,2023-04-26 23:52:47.064234,0 days 00:00:50.802297,tanh,2.8191151852154625e-06,0.999,0.9999,1.0215741929722216e-05,0.3763172041073968,64,large,True,False,0.10207477085375531,PRUNED
26,26,1.0,2023-04-26 23:52:47.065222,2023-04-26 23:53:36.649106,0 days 00:00:49.583884,relu,9.169013940412787e-06,0.98,0.98,8.034358412941228e-05,0.5293194244390217,256,large,False,True,0.16830321292139114,PRUNED
27,27,1.0,2023-04-26 23:53:36.650120,2023-04-26 23:54:25.838782,0 days 00:00:49.188662,tanh,1.9342781982793622e-06,0.995,0.995,1.866382410069297e-05,0.8206467575328934,512,large,True,False,0.21230414058793928,PRUNED
28,28,1.0,2023-04-26 23:54:25.839781,2023-04-26 23:55:09.777010,0 days 00:00:43.937229,tanh,4.318062396650213e-05,0.9,0.99,3.433624125050944e-05,0.4576116998415583,128,tiny,True,False,0.14328450095537118,PRUNED
29,29,97.0,2023-04-26 23:55:09.779008,2023-04-26 23:56:20.408192,0 days 00:01:10.629184,relu,5.451181425811095e-06,0.95,0.99,1.6348977027559954e-05,0.3665239219087912,1024,small,False,True,0.25220316094293105,COMPLETE
30,30,1.0,2023-04-26 23:56:20.410195,2023-04-26 23:57:06.828369,0 days 00:00:46.418174,relu,1.8409932221544983e-05,0.95,0.99,1.535752436746709e-05,0.3623563806117158,1024,small,False,True,0.35654146484192073,PRUNED
31,31,20.0,2023-04-26 23:57:06.829370,2023-04-26 23:57:53.543982,0 days 00:00:46.714612,relu,4.852089165209913e-06,0.95,0.99,1.897982914341733e-05,0.4786533519645271,1024,small,False,True,0.2579207855887353,PRUNED
32,32,1.0,2023-04-26 23:57:53.544984,2023-04-26 23:58:43.153880,0 days 00:00:49.608896,relu,1.5531652893409593e-06,0.95,0.99,2.5700146814906804e-05,0.32925175924604083,16,small,False,True,0.24536775917347087,PRUNED
33,33,1.0,2023-04-26 23:58:43.153880,2023-04-26 23:59:29.559143,0 days 00:00:46.405263,relu,3.145336793466118e-06,0.995,0.99,1.5461179752629427e-05,0.40640537358199924,1024,small,False,True,0.19696578873796972,PRUNED
34,34,94.0,2023-04-26 23:59:29.560140,2023-04-27 00:00:38.335030,0 days 00:01:08.774890,relu,8.227736350700616e-06,0.9999,0.999,1.0039611144029953e-05,0.3013248399987078,128,small,False,True,0.11777690784597625,COMPLETE
35,35,1.0,2023-04-27 00:00:38.337031,2023-04-27 00:01:28.108932,0 days 00:00:49.771901,relu,0.00010608687328703927,0.9999,0.999,1.407383959748e-05,0.35331582777160964,128,small,False,True,0.11808068273994804,PRUNED
36,36,0.0,2023-04-27 00:01:28.109931,2023-04-27 00:02:19.904001,0 days 00:00:51.794070,relu,2.4912435310599926e-05,0.9999,0.999,4.604983484434545e-05,0.3068851687832189,128,small,False,True,0.11518999204010362,PRUNED
37,37,1.0,2023-04-27 00:02:19.906000,2023-04-27 00:03:07.699915,0 days 00:00:47.793915,relu,0.000371113865735279,0.9999,0.999,1.04867683962731e-05,0.39828891390571025,128,small,False,True,0.15177737742328234,PRUNED
38,38,13.0,2023-04-27 00:03:07.700916,2023-04-27 00:03:58.677608,0 days 00:00:50.976692,relu,1.1724762800630078e-05,0.99,0.999,0.0003935676648860183,0.44709200995008463,128,small,False,True,0.12954231543721226,PRUNED
